source,contenu,source_date
"Restauration de la nature (A9-0220/2023 - César Luena)
12-07-2023","J’ai voté en faveur de ce rapport sur le projet de règlement relatif à la restauration des écosystèmes terrestres et marins de l’Union européenne. Ce projet de législation est une grande première suite à l’accord international de Montréal sur la biodiversité, conclu en décembre 2022. Malgré l’importance de ce texte, les groupes politiques de droite et d’extrême-droite au Parlement européen ont tout fait pour que cette législation ne voit jamais le jour, diffusant de fausses informations sur les dispositions du texte. Le groupe Renew et en particulier notre délégation française ont joué un rôle pivot pour garantir qu’un texte soit bel et bien adopté, et que l’Europe se dote d’une référence en matière de restauration de la biodiversité.",12-07-2023
"Création de l'organisme européen chargé des questions d’éthique (RC-B9-0312/2023, B9-0312/2023, B9-0314/2023, B9-0315/2023, B9-0316/2023, B9-0317/2023)
12-07-2023","J’ai voté en faveur de cette résolution du Parlement européen relative à la proposition de la Commission sur la création d'un nouvel organe éthique européen. Celle-ci est bien en-deçà des ambitions que nous avions portées dans une précédente résolution en date du 16 septembre 2021.
Pour être pleinement fonctionnel, cet organe éthique devra disposer d’un pouvoir d’enquête, être en mesure d’obtenir les documents nécessaires à la conduite de ses activités et formuler des recommandations de sanctions qui pourront être rendues publiques.
Il est absolument crucial que l’Union européenne avance sur les enjeux d’éthique. Il en va du bon fonctionnement de notre démocratie et de la confiance que portent les citoyens européens dans nos institutions. Ma délégation poursuivra son travail pour faire émerger un véritable organe éthique européen.",12-07-2023
"Directive relative aux émissions industrielles (A9-0216/2023 - Radan Kanev)
11-07-2023","J’ai voté en faveur de ce rapport sur la révision de la directive relative aux émissions industrielles. Avec ce vote, nous étendrons les obligations de réduction de la pollution de l’air, de l'eau et des sols à l’industrie minière ainsi qu’à l’industrie des batteries. Cette mesure encouragera l’émergence d’industries européennes propres dans les deux secteurs susmentionnés.
En parallèle, la Commission européenne avait suggéré d’intégrer le secteur de l’élevage bovin dans le champ d’application de la directive, et de réduire les seuils d’entrée dans le champ de la directive pour les secteurs porcins et de la volaille. Mêler industrie et agriculture dans une même législation n’était pas une décision pertinente : l’agriculture n’est pas une industrie. Bien sûr, la réduction des émissions du secteur de l’élevage reste importante pour atteindre nos objectifs climatiques : nos agriculteurs sont déjà à la tâche.
Je me réjouis également que le Parlement européen se soit prononcé dans ce texte en faveur de l’introduction de clauses miroirs. C’est une avancée majeure, qui garantira que les produits d’élevage et agricoles que nous importons respectent les mêmes normes environnementales que celles auxquelles sont soumis les producteurs européens.",11-07-2023
"Déploiement d’une infrastructure pour carburants alternatifs (A9-0234/2022 - Petar Vitanov)
11-07-2023","J’ai voté en faveur de cet accord de trilogue sur le projet de règlement relatif au déploiement d’infrastructures pour carburants alternatifs. Celui-ci détermine des objectifs contraignants de déploiement d’infrastructures de recharge électrique et de ravitaillement en hydrogène pour l’ensemble des secteurs du transport maritime, routier, ferroviaire, aérien et fluvial.
Cet accord de trilogue permettra de garantir la cohérence d’ensemble de notre stratégie européenne pour la décarbonation du transport. Le déploiement d’infrastructures de recharge et de ravitaillement sera en effet essentiel au développement accéléré de nouveaux moyens de locomotion décarbonnés tels que les véhicules électriques.
Je suis satisfaite que nous soyons parvenus à un accord interinstitutionnel sur cette législation centrale du Pacte Vert pour l’Europe. C’est une victoire à la hauteur de notre ambition environnementale, et une réussite pour la Présidence française du Conseil de l’UE qui avait travaillé à une position de négociation au sein du Conseil.",11-07-2023
"Efficacité énergétique (refonte) (A9-0221/2022 - Niels Fuglsang)
11-07-2023","J’ai voté en faveur de cet accord de trilogue visant à renforcer le niveau d’ambition de la directive sur l’efficacité énergétique. Avec cet accord, nous avons convenu de la nécessité de réduire la consommation finale d’énergie de l’UE de 11,7% d’ici à 2030 par rapport aux niveaux de 2020. Des objectifs contraignants s’appliqueront au secteur public, notamment en matière de réduction de la consommation annuelle d’énergie ou de rénovation des bâtiments publics.
Je suis ravie que nous soyons parvenus à un accord interinstitutionnel ambitieux en la matière. Cette législation sera essentielle pour atteindre nos objectifs de réduction des émissions de gaz à effet de serre d’ici à 2030.",11-07-2023
"Règlement sur les semi-conducteurs (A9-0014/2023 - Dan Nica)
11-07-2023","J’ai voté en faveur de cet accord de trilogue, qui vise à relancer la production de semi-conducteurs en Europe, avec l’objectif que l’UE concentre au moins 20% de la production mondiale de semi-conducteurs d’ici à 2030. Grâce à ce texte, nous garantirons au secteur des semi-conducteurs un environnement favorable aux investissements, et nous soutiendrons les projets industriels permettant de renforcer nos capacités de production et sécuriser nos approvisionnements. À l’issue des négociations interinstitutionnelles, nous avons obtenu que 3,3 milliards d’euros soient mobilisés pour l’industrie européenne des puces. En cas de crise, la Commission européenne devra évaluer les risques pesant sur la sécurité de nos approvisionnements en semi-conducteurs et prendre les mesures nécessaires pour y faire face (prioriser l’approvisionnement, organiser des achats en commun, etc.)
L'adoption de cette législation constitue une avancée majeure pour notre souveraineté industrielle. Elle permettra de réduire notre dépendance vis-à-vis de pays-tiers pour des produits aussi stratégiques. Je me réjouis que cette priorité politique que nous portons avec ma délégation L’Europe Ensemble puisse aujourd’hui trouver une traduction concrète dans l’industrie des semi-conducteurs.",11-07-2023
"Législation sur l’intelligence artificielle (A9-0188/2023 - Brando Benifei, Dragoş Tudorache)
14-06-2023","J’ai voté en faveur de ce rapport historique sur le projet de règlement visant à encadrer l’utilisation de l’intelligence artificielle et proposer un ensemble de règles harmonisées à l’échelle des 27 États membres de l’UE.
Avec ce texte, nous veillerons à ce que les technologies de l’IA ne transigent jamais avec le respect des droits humains et que leur utilisation soit sûre. Certains systèmes d’IA incompatibles avec nos exigences en matière de gestion des risques seront interdits (c’est le cas de l'IA utilisée pour la notation sociale par exemple). Cette législation permettra d’organiser un marché de l’IA à l’échelle européenne, d’encourager l’innovation dans ce secteur et de garantir une meilleure application de la loi en ce qui concerne l’intelligence artificielle.
Cette législation constitue une avancée majeure dans la réglementation des nouvelles technologies, et apporte la preuve que l’Union est à l’avant-garde des grands enjeux auxquels sont confrontées nos sociétés.",14-06-2023
"Batteries et déchets de batteries (A9-0031/2022 - Achille Variati)
14-06-2023","J’ai voté en faveur de cet accord de trilogue relatif au projet de règlement sur les batteries et les déchets de batteries. Avec cette législation, des objectifs minimaux de collecte des batteries, de recyclage et de réutilisation des matières premières recyclées seront instaurés. Ces objectifs joueront un rôle essentiel pour garantir l’approvisionnement de l’UE en matières premières critiques et éviter d’aggraver nos dépendances vis-à-vis de nos partenaires commerciaux. Afin de garantir la transparence et l’accessibilité des informations sur l’empreinte carbone des batteries, l’origine des matières premières utilisées ou encore le taux de matières premières recyclées incorporées dans les batteries, les industriels devront se conformer à un nouveau système de passeport digital, qui centralisera les informations relatives aux batteries vendues sur le marché unique. En cohérence avec nos priorités en matière de circularité, les batteries des téléphones portables devront quant à elles être remplaçables.
Ce règlement constitue une avancée majeure pour notre politique environnementale, et une grande victoire pour la présidence française du Conseil de l’UE, qui avait piloté les ultimes négociations de trilogue sur ce texte. Ce règlement garantira que l’UE soit leader dans le domaine des batteries propres, avec des retombées économiques et environnementales qui bénéficieront à l’ensemble des Européens.",14-06-2023
"Des stages de qualité dans l’Union européenne (A9-0186/2023 - Monica Semedo)
14-06-2023","J’ai voté en faveur de cette résolution appelant la Commission à présenter de nouvelles règles qui permettront de garantir la qualité des stages réalisés au sein de l'Union européenne.
Ces règles devront déterminer des normes minimales en matière de rémunération, intégrer des considérations en matière d’accès à la protection sociale, et permettre d’encadrer les missions, les conditions de travail et la durée des stages.
Avec ce vote, nous insistons enfin sur la nécessité de renforcer l’accessibilité des stages aux personnes en situation de handicap ainsi qu’aux personnes issues de milieux défavorisés, et d’encourager les stages transfrontaliers.",14-06-2023
"Politique de concurrence – rapport annuel 2022 (A9-0183/2023 - René Repasi)
13-06-2023","Je me suis exprimée en faveur de ce rapport évaluant la politique de la concurrence de l’Union européenne pour l’année 2022, et déterminant les grandes orientations du Parlement européen en la matière.
Avec ce vote, nous saluons l’adoption du cadre temporaire de crise assouplissant les règles en matière d’aides d’État, afin de soutenir les entreprises européennes face aux conséquences de la guerre en Ukraine. Ce cadre est aujourd’hui prolongé et étendu aux technologies vertes, dans le cadre de notre réponse à l’IRA américain. Toutefois, cette option des aides d’État risque de fragmenter le marché unique si elle ne s’accompagne pas d’une réponse budgétaire ambitieuse à l’échelle européenne.
Avec ce rapport, nous nous sommes également prononcés en faveur d’une contribution des grands fournisseurs de contenus au financement des réseaux de télécommunications. Ce mécanisme devra respecter pleinement les principes fondamentaux que nous défendons au niveau européen, en particulier le principe de neutralité du net. Je me réjouis que cette priorité politique sur laquelle je me suis mobilisée puisse aujourd’hui recueillir un large soutien au Parlement européen.",13-06-2023
"Acte législatif de soutien à la production de munitions (C9-0161/2023)
01-06-2023","Je me suis prononcée en faveur de cette proposition visant à accélérer la production de munitions en Europe. Avec ce nouvel instrument, l’Union européenne mobilisera 500 millions d’euros pour permettre la montée en cadence de notre industrie de défense, et garantir que les pays européens puissent subvenir aux besoins en munitions de l’armée ukrainienne.
Cette proposition traduit la révolution politique à l’œuvre dans l’Union européenne. L’Europe se saisit de la question de la défense et agit avec volontarisme. Ce vote est une grande victoire et constitue une excellente nouvelle pour notre politique de sécurité.",01-06-2023
"Devoir de vigilance des entreprises en matière de durabilité (A9-0184/2023 - Lara Wolters)
01-06-2023","J’ai voté en faveur de ce rapport instaurant de nouvelles exigences applicables aux grandes entreprises en matière de devoir de vigilance. Celles-ci seront désormais tenues d’identifier, de prévenir et de corriger les impacts négatifs de leur activité, celle de leurs filiales et de leurs partenaires commerciaux sur les droits humains et l’environnement. Ces nouvelles exigences s’appliqueront tant aux entreprises européennes qu’aux grands groupes issus de pays tiers.
Les entreprises ne respectant pas nos règles se verront imposer des sanctions telles que le retrait de leurs produits du marché ou une amende d’un montant au moins équivalent à 5% de leur chiffre d’affaires mondial. Les entreprises non-européennes contrevenantes perdront quant à elles le droit d’entrée sur les marchés publics européens.
L’adoption de ce rapport est une grande victoire politique qui consacre le rôle central de l’Union européenne dans la régulation de l’économie mondiale, la protection des droits humains et la préservation de l’environnement.",01-06-2023
"Stratégie de l’Union européenne pour des textiles durables et circulaires (A9-0176/2023 - Delara Burkhardt)
01-06-2023","J’ai voté en faveur de ce rapport relatif à la stratégie de l’UE pour des textiles durables et circulaires. L’industrie textile représente aujourd’hui la quatrième plus importante source de dégradation de l’environnement, et certaines pratiques de consommation telles que la « fast fashion » sont incompatibles avec nos priorités environnementales.
Il est essentiel que d’ici à 2030, l’intégralité des produits textiles vendus sur le marché européen soit durable, réutilisable, réparable et recyclable. Ces nouvelles exigences en matière de durabilité et de circularité devront couvrir l'ensemble du cycle de vie des produits textiles. À cet égard, nous appelons à interdire la destruction des produits textiles invendus ou retournés par les consommateurs.
Il est impératif d’agir pour diminuer l’impact environnemental de l’industrie textile. Une législation ambitieuse en la matière permettra de compléter efficacement l’action que nous menons depuis 2019 en faveur de la protection de l’environnement.",01-06-2023
"Violations de l’état de droit et des droits fondamentaux en Hongrie et fonds de l’UE gelés (B9-0257/2023)
01-06-2023","J’ai voté en faveur de cette résolution dénonçant les violations des droits fondamentaux en Hongrie. Depuis notre précédente résolution en date du mois de septembre 2022, la situation des droits fondamentaux en Hongrie s’est nettement détériorée.
Dans un tel contexte, nous avons acté en décembre 2022 le gel du plan de relance hongrois et d’une partie substantielle des fonds de cohésion initialement alloués à la Hongrie. Le déblocage de ces fonds est désormais conditionné à la réalisation d’importantes réformes et de 27 jalons.
Conditionner l’octroi des fonds européens au respect de l’état de droit figurait parmi les priorités de ma mandature. Pour la première fois dans notre histoire commune, l’UE s'est saisie de l'instrument budgétaire à l'encontre d’un État européen illibéral. Il est désormais nécessaire que la Commission agisse avec transparence dans son évaluation des réformes hongroises, afin qu’un hypothétique déblocage des fonds européens à destination de la Hongrie ne puisse être décidé qu’à la condition d'un rétablissement effectif et durable de l’état de droit. Il en va de la crédibilité de l’UE et de la défense de nos démocraties libérales.",01-06-2023
"Incidence, sur le budget 2024 de l’Union, de l’augmentation des coûts d’emprunt de l’instrument de l’Union européenne pour la relance (A9-0163/2023 - Johan Van Overtveldt)
10-05-2023","J’ai voté en faveur de ce projet de résolution portant sur l’augmentation des coûts d’emprunt au titre de l’instrument de l’Union européenne pour la relance (EURI), en raison de la forte hausse des taux d’intérêt. Cette dernière pèse lourdement sur la charge de la dette, de telle sorte que les coûts de remboursement des intérêts devraient excéder les montants initialement budgétés pour la période 2021-2027. Le budget européen ne dispose que de très faibles marges de manœuvre, si bien que toute hausse de la charge de la dette risque de mettre en péril le financement d’autres programmes prévus dans le cadre financier pluriannuel (notamment Erasmus +, EU4Health, Europe créative ou encore rescEU).
Par ce vote, nous appelons à une révision urgente du cadre financier pluriannuel (CFP) ainsi qu’à l’introduction rapide de nouvelles ressources propres, afin de doter le budget de l’Union des moyens nécessaires au remboursement de notre emprunt commun.",10-05-2023
"Ressources propres: un nouveau départ pour les finances de l’UE, un nouveau départ pour l’Europe (A9-0155/2023 - José Manuel Fernandes, Valérie Hayer)
10-05-2023","Je me réjouis de l’adoption à une large majorité de mon rapport d’initiative sur l’introduction de nouvelles ressources propres dans le budget de l’Union, dont j’étais corapporteure avec mon collègue José Manuel Fernandes.
Ce rapport soumet au débat public de nouvelles idées de ressources propres, qui permettront de rembourser le grand emprunt du plan de relance NextGenerationEU et de doter le budget européen des ressources nécessaires pour mener les grandes transitions de notre époque et renforcer l’autonomie stratégique de l’UE.
Parmi nos propositions figurent l’idée d’un nouveau mécanisme équitable aux frontières (pour lutter contre les situations de sous-rémunération dans les pays tiers exportant leurs produits vers le marché européen), une taxe sur les crypto-monnaies ou encore l’introduction de nouvelles ressources statistiques (pour moduler la contribution des États membres au budget de l’UE selon de nouveaux critères tels que l’égalité salariale ou le recyclage des biodéchets).
L’adoption de ce rapport est une grande victoire pour le budget européen, et un signal fort adressé au Conseil pour valider le premier paquet de ressources propres et créer dans les plus brefs délais de nouvelles ressources.",10-05-2023
"Assistance macrofinancière à la Moldavie (A9-0166/2023 - Markéta Gregorová)
09-05-2023","J’ai voté en faveur de ce rapport visant à augmenter le montant de l’assistance macrofinancière octroyée par l’UE à la Moldavie. Près de 100 millions d’euros de prêts et 45 millions d’euros de subventions s’ajouteront à l’aide de 150 millions d’euros d'ores et déjà actée, permettant de soutenir la Moldavie face aux difficultés économiques auxquelles le pays est confronté depuis le déclenchement de la guerre en Ukraine. L’octroi de cette aide sera conditionné à la réalisation de réformes en Moldavie, afin notamment de garantir le respect de l’état de droit et lutter plus efficacement contre la corruption.
Cette décision renouvelle le soutien de l’UE à la Moldavie et réaffirme l’importance de nos relations dans des circonstances géopolitiques graves.",09-05-2023
"Accord d’association UE/Euratom/Ukraine: libéralisation temporaire des échanges commerciaux complétant les concessions commerciales applicables aux produits ukrainiens (A9-0165/2023 - Sandra Kalniete)
09-05-2023","J’ai voté en faveur de ce rapport renouvelant pour une année supplémentaire la suspension des droits de douane sur les produits ukrainiens importés sur le marché européen. Cette mesure s'appliquera aux produits agricoles et produits agricoles transformés soumis à des contingents tarifaires ainsi qu'aux fruits et légumes. Les produits industriels ne seront pas inclus dans le champ d'application de la mesure, ceux-ci étant d'ores et déjà soumis à des tarifs douaniers nuls en vertu de l'accord d'association UE-Ukraine. Cette décision permettra de poursuivre le soutien capital que l’UE apporte à l’économie ukrainienne depuis le début de la guerre menée par la Russie, tout en garantissant la disponibilité des produits agricoles ukrainiens sur les marchés mondiaux.",09-05-2023
"Marchés de cryptoactifs (MiCA) (A9-0052/2022 - Stefan Berger)
20-04-2023","J’ai voté en faveur de cet accord de trilogue introduisant un premier cadre réglementaire européen sur les crypto-actifs. Ce règlement MiCA définira des règles communes aux 27 États membres en matière de surveillance, de protection des consommateurs et de garanties environnementales pour le secteur des crypto-actifs.
Avec la validation de cet accord, les prestataires de services sur crypto-actifs devront obtenir une autorisation pour exercer leur activité dans l’Union, et se conformer à un niveau d’exigence élevé en matière de protection des consommateurs. En cas de perte de crypto-actifs détenus par un investisseur, leur responsabilité sera engagée. Sur le plan environnemental, les acteurs du marché seront désormais tenus de déclarer l’impact environnemental de leur activité.
L’adoption de cet accord de trilogue est une grande victoire pour la France, qui avait mené un travail remarquable pour faire aboutir les négociations au cours de sa présidence du Conseil de l'Union.",20-04-2023
"Dépénalisation universelle de l'homosexualité, à la lumière des événements récents en Ouganda (RC-B9-0219/2023, B9-0219/2023, B9-0220/2023, B9-0221/2023, B9-0222/2023, B9-0223/2023, B9-0224/2023)
20-04-2023","Je me suis prononcée en faveur de cette résolution appelant à la dépénalisation universelle de l’homosexualité, et condamnant fermement l’adoption récente par le Parlement ougandais d’une loi renforçant la pénalisation de l’homosexualité et de la transidentité dans le pays.
L’Union européenne doit désormais s’engager au niveau mondial pour la dépénalisation de l’homosexualité, en utilisant les politiques commerciales et de développement, et en mobilisant notre diplomatie pour promouvoir le droit des minorités sexuelles dans le monde.",20-04-2023
"Règlement sur la déforestation (A9-0219/2022 - Christophe Hansen)
19-04-2023","Je me suis prononcée en faveur de cet accord de trilogue historique sur le projet de règlement visant à lutter contre la déforestation importée. Pour un grand nombre de produits du quotidien tels que le bétail, le cacao, le café, l’huile de palme, le soja, le bois, le caoutchouc, le charbon ou encore les produits en papier imprimé, les importateurs seront désormais contraints d’apporter les preuves (satellitaires notamment) que leurs produits ne seront pas issus de zones déforestées.
Ce texte constitue une première mondiale dans la lutte contre la déforestation importée. C’est une victoire majeure pour l’Europe verte que nous promouvons, qui permettra d’imposer aux producteurs européens comme étrangers les mêmes règles en matière de préservation des espaces forestiers.",19-04-2023
"Modalités et procédure de mise à disposition des ressources propres fondées sur le système d’échange de quotas d’émission, sur le mécanisme d’ajustement carbone aux frontières et sur les bénéfices réattribués ainsi que mesures visant à faire face aux besoins de trésorerie (A9-0046/2023 - José Manuel Fernandes, Valérie Hayer)
19-04-2023","Je me réjouis de l’adoption à une large majorité de ce rapport relatif aux nouvelles ressources propres. Porté par mon collègue José Manuel Fernandes et moi-même, ce rapport vise à approuver une proposition de règlement du Conseil déterminant les modalités pratiques, les mesures de surveillance, de contrôle et de réexamen ainsi que la procédure de mise à disposition des ressources propres issues du marché carbone européen, du MACF ainsi que du pilier I de l’accord OCDE/G20 sur la réattribution des droits d’imposition.
Ces nouvelles ressources propres seront essentielles au remboursement du plan de relance post-Covid NextGenerationEU.",19-04-2023
"Orientations pour le budget 2024 – Section III (A9-0124/2023 - Janusz Lewandowski)
19-04-2023","Je me suis opposée au vote final sur ce rapport relatif aux orientations du Parlement européen pour le budget 2024. Si l’essentiel des lignes directrices énoncées dans ce rapport étaient en phase avec nos priorités budgétaires pour l’année à venir (révision urgente du cadre financier pluriannuel, soutien aux investissements stratégiques dans des domaines tels que la défense, le numérique, l’énergie ou encore la transition verte), un amendement de la droite européenne, supprimant la mention du refus explicite de financer des murs par le budget européen, m’a contrainte à me prononcer négativement sur le rapport final.
Le budget européen apporte un soutien essentiel aux citoyens pour les protéger des crises et les aider à mener les grandes transitions de notre époque. Il est hors de question que l’argent du contribuable européen soit utilisé pour des projets inhumains, inutiles et de surcroît coûteux. La réponse adéquate au défi migratoire reposera sur la conclusion prochaine du Pacte européen sur la migration et l'asile.",19-04-2023
